launch_id,launch_time_utc,Location,Status Mission,label_prelim,Datum,latitude,longitude
96,2019-10-04 18:51:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Fri Oct 04, 2019 18:51 UTC",38.849,111.608
97,2019-09-26 07:46:00+00:00,"Site 43/4, Plesetsk Cosmodrome, Russia",Success,OK,"Thu Sep 26, 2019 07:46 UTC",62.9256,40.577
98,2019-09-25 13:57:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Wed Sep 25, 2019 13:57 UTC",45.9647,63.305
99,2019-09-25 00:54:00+00:00,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,OK,"Wed Sep 25, 2019 00:54 UTC",40.96,100.298
100,2019-09-24 16:05:00+00:00,"LA-Y2, Tanegashima Space Center, Japan",Success,OK,"Tue Sep 24, 2019 16:05 UTC",30.401,130.976
101,2019-09-22 21:10:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Success,OK,"Sun Sep 22, 2019 21:10 UTC",28.246,102.026
102,2019-09-19 06:42:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Success,OK,"Thu Sep 19, 2019 06:42 UTC",40.96,100.298
103,2019-09-12 03:26:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Thu Sep 12, 2019 03:26 UTC",38.849,111.608
104,2019-08-30 23:41:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Success,OK,"Fri Aug 30, 2019 23:41 UTC",40.96,100.298
105,2019-08-30 14:00:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Success,OK,"Fri Aug 30, 2019 14:00 UTC",62.9256,40.577
106,,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Prelaunch Failure,Atrasado,"Thu Aug 29, 2019",,
107,2019-08-22 13:06:00+00:00,"SLC-37B, Cape Canaveral AFS, Florida, USA",Success,OK,"Thu Aug 22, 2019 13:06 UTC",28.396837,-80.605659
108,2019-08-22 03:38:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu Aug 22, 2019 03:38 UTC",45.9647,63.305
109,2019-08-19 12:12:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Mon Aug 19, 2019 12:12 UTC",,
110,2019-08-19 12:03:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Success,OK,"Mon Aug 19, 2019 12:03 UTC",28.246,102.026
111,2019-08-17 04:11:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Success,OK,"Sat Aug 17, 2019 04:11 UTC",40.96,100.298
112,2019-08-08 10:13:00+00:00,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,OK,"Thu Aug 08, 2019 10:13 UTC",28.396837,-80.605659
113,2019-08-06 23:23:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Tue Aug 06, 2019 23:23 UTC",28.396837,-80.605659
114,2019-08-06 19:30:00+00:00,"ELA-3, Guiana Space Centre, French Guiana, France",Success,OK,"Tue Aug 06, 2019 19:30 UTC",,
115,2019-08-05 21:56:00+00:00,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Mon Aug 05, 2019 21:56 UTC",45.9647,63.305
116,2019-07-31 12:10:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Wed Jul 31, 2019 12:10 UTC",45.9647,63.305
117,2019-07-30 05:56:00+00:00,"Site 43/4, Plesetsk Cosmodrome, Russia",Success,OK,"Tue Jul 30, 2019 05:56 UTC",62.9256,40.577
118,2019-07-26 03:57:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Fri Jul 26, 2019 03:57 UTC",28.246,102.026
119,2019-07-25 22:01:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Thu Jul 25, 2019 22:01 UTC",28.396837,-80.605659
120,2019-07-25 05:00:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Success,OK,"Thu Jul 25, 2019 05:00 UTC",40.96,100.298
121,2019-07-22 09:13:00+00:00,"Second Launch Pad, Satish Dhawan Space Centre, India",Success,OK,"Mon Jul 22, 2019 09:13 UTC",,
122,2019-07-20 16:28:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Sat Jul 20, 2019 16:28 UTC",45.9647,63.305
123,2019-07-13 12:31:00+00:00,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Sat Jul 13, 2019 12:31 UTC",45.9647,63.305
124,2019-07-11 01:53:00+00:00,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",Failure,Atrasado,"Thu Jul 11, 2019 01:53 UTC",,
125,2019-07-10 17:14:00+00:00,"Site 43/4, Plesetsk Cosmodrome, Russia",Success,OK,"Wed Jul 10, 2019 17:14 UTC",62.9256,40.577
126,2019-07-05 05:41:00+00:00,"Site 1S, Vostochny Cosmodrome, Russia",Success,OK,"Fri Jul 05, 2019 05:41 UTC",,
127,2019-06-29 18:00:00+00:00,"Vertical Launch Area, Spaceport America, New Mexico",Partial Failure,Atrasado,"Sat Jun 29, 2019 18:00 UTC",,
128,2019-06-29 04:30:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Sat Jun 29, 2019 04:30 UTC",,
129,2019-06-25 06:30:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Success,OK,"Tue Jun 25, 2019 06:30 UTC",28.572872,-80.64898
130,2019-06-24 18:09:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Mon Jun 24, 2019 18:09 UTC",28.246,102.026
131,2019-06-20 21:43:00+00:00,"ELA-3, Guiana Space Centre, French Guiana, France",Success,OK,"Thu Jun 20, 2019 21:43 UTC",,
132,2019-06-12 14:17:00+00:00,"SLC-4E, Vandenberg AFB, California, USA",Success,OK,"Wed Jun 12, 2019 14:17 UTC",34.742027,-120.572433
133,2019-06-05 04:06:00+00:00,"Tai Rui Barge, Yellow Sea",Success,OK,"Wed Jun 05, 2019 04:06 UTC",,
134,2019-05-30 17:42:00+00:00,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu May 30, 2019 17:42 UTC",45.9647,63.305
135,2019-05-27 06:23:00+00:00,"Site 43/4, Plesetsk Cosmodrome, Russia",Success,OK,"Mon May 27, 2019 06:23 UTC",62.9256,40.577
